index,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,source
393,NIH3T3,MTT,SiO2,24,100,40.082,1.5,-40.5,7.407407407,2.926666667,-1.2,1.1,original
394,NIH3T3,MTT,SiO2,24,125,19.973,1.5,-53.9,7.407407407,2.926666667,-1.2,1.1,original
395,NIH3T3,MTT,SiO2,24,150,10.054,1.5,17.48,7.407407407,2.926666667,-1.2,1.1,original
396,NIH3T3,MTT,SiO2,24,5,100,68.3,-40.6,7.407407407,2.926666667,-1.2,1.1,original
397,NIH3T3,MTT,SiO2,24,25,94.475,68.3,-40.6,7.407407407,2.926666667,-1.2,1.1,original
398,NIH3T3,MTT,SiO2,24,100,68.646,68.3,-40.6,7.407407407,2.926666667,-1.2,1.1,original
399,NIH3T3,MTT,SiO2,24,5,96.2,55.8,70.76,7.407407407,2.926666667,-1.2,1.1,original
400,NIH3T3,MTT,SiO2,24,10,86.01,55.8,70.76,7.407407407,2.926666667,-1.2,1.1,original
401,NIH3T3,MTT,SiO2,24,20,70,55.8,70.76,7.407407407,2.926666667,-1.2,1.1,original
402,NIH3T3,MTT,SiO2,24,30,49.7,55.8,70.76,7.407407407,2.926666667,-1.2,1.1,original
403,NIH3T3,MTT,SiO2,48,5,92.96,55.8,70.76,7.407407407,2.926666667,-1.2,1.1,original
404,NIH3T3,MTT,SiO2,48,10,79.9,55.8,70.76,7.407407407,2.926666667,-1.2,1.1,original
405,NIH3T3,MTT,SiO2,48,20,58.43,55.8,70.76,7.407407407,2.926666667,-1.2,1.1,original
406,NIH3T3,MTT,SiO2,48,30,30.4,55.8,70.76,7.407407407,2.926666667,-1.2,1.1,original
407,NIH3T3,MTT,SiO2,24,1,98.308,6,-8.72,7.407407407,2.926666667,-1.2,1.1,original
408,NIH3T3,MTT,SiO2,24,10,94.416,6,-8.72,7.407407407,2.926666667,-1.2,1.1,original
409,NIH3T3,MTT,SiO2,24,12.5,93.232,6,-8.72,7.407407407,2.926666667,-1.2,1.1,original
410,NIH3T3,MTT,SiO2,24,25,92.047,6,-8.72,7.407407407,2.926666667,-1.2,1.1,original
411,NIH3T3,MTT,SiO2,24,50,89.34,6,-8.72,7.407407407,2.926666667,-1.2,1.1,original
412,NIH3T3,MTT,SiO2,24,100,87.31,6,-8.72,7.407407407,2.926666667,-1.2,1.1,original
413,NIH3T3,MTT,SiO2,24,1,93.57,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
414,NIH3T3,MTT,SiO2,24,10,85.448,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
415,NIH3T3,MTT,SiO2,24,12.5,61.083,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
416,NIH3T3,MTT,SiO2,24,25,15.736,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
417,NIH3T3,MTT,SiO2,24,50,9.6447,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
418,NIH3T3,MTT,SiO2,24,100,5.9222,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
419,NIH3T3,MTT,SiO2,24,1,96.277,18.3,-8.1,7.407407407,2.926666667,-1.2,1.1,original
420,NIH3T3,MTT,SiO2,24,10,94.247,18.3,-25.12,7.407407407,2.926666667,-1.2,1.1,original
421,NIH3T3,MTT,SiO2,24,12.5,95.601,18.3,-16.2,7.407407407,2.926666667,-1.2,1.1,original
422,NIH3T3,MTT,SiO2,24,25,97.293,18.3,10,7.407407407,2.926666667,-1.2,1.1,original
423,HepG2,MTT,SiO2,24,50,96.447,18.3,5.65,7.407407407,2.926666667,-1.2,1.1,original
424,HepG2,MTT,SiO2,24,100,93.57,18.3,-21.02,7.407407407,2.926666667,-1.2,1.1,original
425,HepG2,MTT,SiO2,24,1,97.8,33,20.02,7.407407407,2.926666667,-1.2,1.1,original
426,HepG2,MTT,SiO2,24,10,97.8,33,20.02,7.407407407,2.926666667,-1.2,1.1,original
427,HepG2,MTT,SiO2,24,12.5,95.77,33,20.02,7.407407407,2.926666667,-1.2,1.1,original
428,HepG2,MTT,SiO2,24,25,95.77,33,20.02,7.407407407,2.926666667,-1.2,1.1,original
429,HepG2,MTT,SiO2,24,50,95.601,33,20.02,7.407407407,2.926666667,-1.2,1.1,original
430,HepG2,MTT,SiO2,24,100,92.555,33,20.02,7.407407407,2.926666667,-1.2,1.1,original
431,HepG2,MTT,SiO2,24,1,95.601,16.7,-8.75,7.407407407,2.926666667,-1.2,1.1,original
432,HepG2,MTT,SiO2,24,10,93.232,16.7,-9.9,7.407407407,2.926666667,-1.2,1.1,original
433,HepG2,MTT,SiO2,24,12.5,92.047,16.7,-97.37,7.407407407,2.926666667,-1.2,1.1,original
434,HepG2,MTT,SiO2,24,25,91.709,16.7,8.29,7.407407407,2.926666667,-1.2,1.1,original
435,HepG2,MTT,SiO2,24,50,87.817,16.7,8.29,7.407407407,2.926666667,-1.2,1.1,original
436,HepG2,MTT,SiO2,24,100,72.927,16.7,-33.75,7.407407407,2.926666667,-1.2,1.1,original
437,HepG2,MTT,SiO2,3,1,97.504,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
438,HepG2,MTT,SiO2,3,10,94.54,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
439,HepG2,MTT,SiO2,3,12.5,89.392,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
440,HepG2,MTT,SiO2,3,25,87.52,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
441,HepG2,MTT,SiO2,3,50,80.187,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
442,HepG2,MTT,SiO2,3,100,72.075,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
443,HepG2,MTT,SiO2,6,1,96.568,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
444,HepG2,MTT,SiO2,6,10,92.356,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
445,HepG2,MTT,SiO2,6,12.5,87.207,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
446,HepG2,MTT,SiO2,6,25,83.151,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
447,HepG2,MTT,SiO2,6,50,66.615,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
448,HepG2,MTT,SiO2,6,100,61.622,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
449,HepG2,MTT,SiO2,9,1,96.1,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
450,HepG2,MTT,SiO2,9,10,88.456,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
451,HepG2,MTT,SiO2,9,12.5,80.655,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
452,HepG2,MTT,SiO2,9,25,70.671,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
453,HepG2,MTT,SiO2,9,50,49.922,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
454,HepG2,MTT,SiO2,9,100,39.938,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
455,HepG2,MTT,SiO2,12,1,91.888,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
456,HepG2,MTT,SiO2,12,10,84.867,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
457,HepG2,MTT,SiO2,12,12.5,61.154,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
458,HepG2,MTT,SiO2,12,25,42.122,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
459,HepG2,MTT,SiO2,12,50,27.613,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
460,HepG2,MTT,SiO2,12,100,22.153,141,71.7,7.407407407,2.926666667,-1.2,1.1,original
461,HepG2,MTT,SiO2,24,1,98.604,30,-6.285,7.407407407,2.926666667,-1.2,1.1,original
462,HepG2,MTT,SiO2,24,5,81.98,30,-0.025,7.407407407,2.926666667,-1.2,1.1,original
463,HEK293,MTS,Pt,24,10,77.919,30,-7.165,0,2.28,1.188,1.35,original
464,HEK293,MTS,Pt,24,15,68.655,30,-6.475,0,2.28,1.188,1.35,original
465,HEK293,MTS,Pt,24,25,6.599,30,26.83,0,2.28,1.188,1.35,original
466,HEK293,MTS,Pt,24,1,98.858,50,-10.045,0,2.28,1.188,1.35,original
467,HEK293,MTS,Pt,24,5,84.264,50,-17.6,0,2.28,1.188,1.35,original
468,HEK293,MTS,Pt,24,10,80.457,50,-24.7,0,2.28,1.188,1.35,original
469,HEK293,MTS,Pt,24,15,68.782,50,71.23,0,2.28,1.188,1.35,original
470,HEK293,MTS,Pt,24,25,7.2335,50,71.23,0,2.28,1.188,1.35,original
471,HEK293,MTS,Pt,24,1,99.629,90,71.7,0,2.28,1.188,1.35,original
472,HEK293,MTS,Pt,24,5,90.853,90,44.6,0,2.28,1.188,1.35,original
473,HEK293,MTS,Pt,24,10,87.639,90,44.6,0,2.28,1.188,1.35,original
474,HEK293,MTS,Pt,24,15,72.93,90,44.6,0,2.28,1.188,1.35,original
475,HEK293,NRU,Pt,24,25,19.778,90,31.735,0,2.28,1.188,1.35,original
476,HEK293,NRU,Pt,48,1,96.701,30,-0.52,0,2.28,1.188,1.35,original
477,HEK293,NRU,Pt,48,5,80.584,30,-16.05,0,2.28,1.188,1.35,original
478,HEK293,NRU,Pt,48,10,77.284,30,18.58,0,2.28,1.188,1.35,original
479,HEK293,NRU,Pt,48,15,67.386,30,10.825,0,2.28,1.188,1.35,original
480,HEK293,NRU,Pt,48,25,5.7107,30,-31.215,0,2.28,1.188,1.35,original
481,HEK293,NRU,Pt,48,1,97.462,50,-17.6,0,2.28,1.188,1.35,original
482,HEK293,NRU,Pt,48,5,83.122,50,-17.6,0,2.28,1.188,1.35,original
483,HEK293,NRU,Pt,48,10,77.284,50,-26.3,0,2.28,1.188,1.35,original
484,HEK293,NRU,Pt,48,15,68.401,50,-26.3,0,2.28,1.188,1.35,original
485,HEK293,NRU,Pt,48,25,7.1066,50,-31.215,0,2.28,1.188,1.35,original
486,HEK293,NRU,Pt,48,1,99.135,90,-8.6,0,2.28,1.188,1.35,original
487,MCF-7,MTT,Pt,48,5,85.909,90,-20.25,0,2.28,1.188,1.35,original
488,MCF-7,MTT,Pt,48,10,81.459,90,-8.6,0,2.28,1.188,1.35,original
489,MCF-7,MTT,Pt,48,15,71.199,90,-8.415,0,2.28,1.188,1.35,original
490,MCF-7,MTT,Pt,48,25,13.226,90,-8.23,0,2.28,1.188,1.35,original
491,MCF-7,MTT,Pt,72,1,96.193,30,-4.58,0,2.28,1.188,1.35,original
492,MCF-7,MTT,Pt,72,5,80.584,30,-4.58,0,2.28,1.188,1.35,original
493,MCF-7,MTT,Pt,72,10,74.112,30,-24.5,0,2.28,1.188,1.35,original
494,MCF-7,MTT,Pt,72,15,65.609,30,-24.5,0,2.28,1.188,1.35,original
495,MCF-7,MTT,Pt,72,25,5.4569,30,-33.33,0,2.28,1.188,1.35,original
496,MCF-7,MTT,Pt,72,1,96.701,50,-12.32,0,2.28,1.188,1.35,original
497,MCF-7,MTT,Pt,72,5,82.487,50,-31.8,0,2.28,1.188,1.35,original
498,MCF-7,MTT,Pt,72,10,77.03,50,-32.5,0,2.28,1.188,1.35,original
499,MCF-7,MTT,Pt,72,15,66.117,50,-32.5,0,2.28,1.188,1.35,original
500,MCF-7,MTT,Pt,72,25,7.1066,50,-33.33,0,2.28,1.188,1.35,original
501,MCF-7,MTT,Pt,72,1,97.775,90,-35,0,2.28,1.188,1.35,original
502,MCF-7,MTT,Pt,72,5,84.92,90,-35,0,2.28,1.188,1.35,original
503,MCF-7,MTT,Pt,72,10,81.459,90,-33.35,0,2.28,1.188,1.35,original
504,MCF-7,MTT,Pt,72,15,68.356,90,-31.7,0,2.28,1.188,1.35,original
505,THP-1,CCK-8,Pt,72,25,13.226,90,10.285,0,2.28,1.188,1.35,original
506,THP-1,CCK-8,Pt,4,2.5,96.783,25,31.49,0,2.28,1.188,1.35,original
507,THP-1,CCK-8,Pt,4,5,69.437,25,60.48,0,2.28,1.188,1.35,original
508,THP-1,CCK-8,Pt,4,7.5,21.716,25,-17.75,0,2.28,1.188,1.35,original
509,THP-1,CCK-8,Pt,4,10,15.013,25,-17.75,0,2.28,1.188,1.35,original
510,THP-1,CCK-8,Pt,4,12.5,7.7748,25,-17.1,0,2.28,1.188,1.35,original
511,HepG2,MTS,Pt,4,15,6.9705,25,-17.1,0,2.28,1.188,1.35,original
512,HepG2,MTS,Pt,24,10,79.17,90,31.735,0,2.28,1.188,1.35,original
513,HepG2,MTS,Pt,24,25,63.44,90,4.635,0,2.28,1.188,1.35,original
514,HaCat,MTT,CuO,24,50,66.41,90,-31.7,2.298850575,2.67,0.337,1.35,original
515,HaCat,MTT,CuO,24,100,68.69,90,-31.7,2.298850575,2.67,0.337,1.35,original
516,HaCat,MTT,CuO,24,200,63.25,90,-31.7,2.298850575,2.67,0.337,1.35,original
517,HaCat,MTT,CuO,24,10,27.99,90,71.7,2.298850575,2.67,0.337,1.35,original
518,HaCat,MTT,CuO,24,25,25.73,90,71.7,2.298850575,2.67,0.337,1.35,original
519,HaCat,MTT,CuO,24,50,18.21,90,71.7,2.298850575,2.67,0.337,1.35,original
520,HaCat,MTT,CuO,24,100,17.87,90,71.7,2.298850575,2.67,0.337,1.35,original
521,HaCat,MTT,CuO,24,200,14.34,90,71.7,2.298850575,2.67,0.337,1.35,original
522,SIRC,MTT,TiO2,24,0.3,85.833,14.3,-26.5,5.369127517,2.806666667,-0.93,1.4,original
523,SIRC,MTT,TiO2,24,0.625,88.333,14.3,-26.5,5.369127517,2.806666667,-0.93,1.4,original
524,SIRC,MTT,TiO2,24,1.25,87.222,14.3,-26.5,5.369127517,2.806666667,-0.93,1.4,original
525,SIRC,MTT,TiO2,24,2.5,88.611,14.3,-26.5,5.369127517,2.806666667,-0.93,1.4,original
526,SIRC,MTT,TiO2,24,5,44.167,14.3,-26.5,5.369127517,2.806666667,-0.93,1.4,original
527,SIRC,MTT,TiO2,24,0.3,100.56,82.73,-31.9,5.369127517,2.806666667,-0.93,1.4,original
528,SIRC,MTT,ZnO,24,0.625,100.83,82.73,-31.9,2.272727273,2.545,-0.7618,1.35,original
529,SIRC,MTT,ZnO,24,1.25,96.944,82.73,-31.9,2.272727273,2.545,-0.7618,1.35,original
530,SIRC,MTT,ZnO,24,2.5,73.889,82.73,-31.9,2.272727273,2.545,-0.7618,1.35,original
531,SIRC,MTT,ZnO,24,5,33.889,82.73,-31.9,2.272727273,2.545,-0.7618,1.35,original
532,SIRC,MTT,ZnO,48,0.3,86.28,14.3,-26.5,2.272727273,2.545,-0.7618,1.35,original
533,SIRC,MTT,ZnO,48,0.625,82.85,14.3,-26.5,2.272727273,2.545,-0.7618,1.35,original
534,SIRC,MTT,SiO2,48,1.25,81.794,14.3,-26.5,7.407407407,2.926666667,-1.2,1.1,original
535,SIRC,MTT,SiO2,48,2.5,77.045,14.3,-26.5,7.407407407,2.926666667,-1.2,1.1,original
536,SIRC,MTT,SiO2,48,5,22.691,14.3,-26.5,7.407407407,2.926666667,-1.2,1.1,original
537,SIRC,MTT,SiO2,48,0.3,85.752,82.73,-31.9,7.407407407,2.926666667,-1.2,1.1,original
538,SIRC,MTT,SiO2,48,0.625,85.752,82.73,-31.9,7.407407407,2.926666667,-1.2,1.1,original
539,SIRC,MTT,SiO2,48,1.25,82.586,82.73,-31.9,7.407407407,2.926666667,-1.2,1.1,original
540,SIRC,MTT,CeO2,48,2.5,30.343,82.73,-31.9,3.96039604,2.666666667,-0.87,1.85,original
541,SIRC,MTT,CeO2,48,5,13.984,82.73,-31.9,3.96039604,2.666666667,-0.87,1.85,original
542,SIRC,MTT,CeO2,3,5,99.752,10,-31.8,3.96039604,2.666666667,-0.87,1.85,original
543,SIRC,MTT,CeO2,3,10,103.22,10,-31.8,3.96039604,2.666666667,-0.87,1.85,original
544,SIRC,MTT,CeO2,3,25,99.257,10,-31.8,3.96039604,2.666666667,-0.87,1.85,original
545,SIRC,MTT,CeO2,3,50,100.25,10,-31.8,3.96039604,2.666666667,-0.87,1.85,original
546,SIRC,MTT,Ag,3,75,97.525,10,-31.8,0,1.93,0.7996,1.6,original
547,SIRC,MTT,Ag,3,100,98.267,10,-31.8,0,1.93,0.7996,1.6,original
548,SIRC,MTT,Ag,3,150,99.01,10,-31.8,0,1.93,0.7996,1.6,original
549,SIRC,MTT,Ag,3,175,98.267,10,-31.8,0,1.93,0.7996,1.6,original
550,SIRC,MTT,Ag,3,200,96.535,10,-31.8,0,1.93,0.7996,1.6,original
551,SIRC,MTT,Ag,3,300,97.277,10,-31.8,0,1.93,0.7996,1.6,original
552,SIRC,MTT,ZnO,3,5,96.923,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
553,SIRC,MTT,ZnO,3,10,97.788,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
554,SIRC,MTT,ZnO,3,25,100.1,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
555,SIRC,MTT,ZnO,3,50,93.173,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
556,SIRC,MTT,ZnO,3,75,94.615,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
557,SIRC,MTT,ZnO,3,100,96.346,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
558,SIRC,MTT,ZnO,3,150,91.442,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
559,SIRC,MTT,ZnO,3,175,93.173,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
560,SIRC,MTT,ZnO,3,200,94.615,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
561,SIRC,MTT,ZnO,3,300,96.346,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
562,SIRC,MTT,ZnO,6,5,94.554,10,-31.8,2.272727273,2.545,-0.7618,1.35,original
563,SIRC,MTT,ZnO,6,10,101.73,10,-31.8,2.272727273,2.545,-0.7618,1.35,original
564,SIRC,MTT,ZnO,6,25,100.5,10,-31.8,2.272727273,2.545,-0.7618,1.35,original
565,SIRC,MTT,ZnO,6,50,96.287,10,-31.8,2.272727273,2.545,-0.7618,1.35,original
566,SIRC,MTT,ZnO,6,75,95.05,10,-31.8,2.272727273,2.545,-0.7618,1.35,original
567,SIRC,MTT,ZnO,6,100,100.99,10,-31.8,2.272727273,2.545,-0.7618,1.35,original
568,SIRC,MTT,ZnO,6,150,96.535,10,-31.8,2.272727273,2.545,-0.7618,1.35,original
569,SIRC,MTT,ZnO,6,175,95.792,10,-31.8,2.272727273,2.545,-0.7618,1.35,original
570,SIRC,MTT,ZnO,6,200,96.04,10,-31.8,2.272727273,2.545,-0.7618,1.35,original
571,SIRC,MTT,ZnO,6,300,96.04,10,-31.8,2.272727273,2.545,-0.7618,1.35,original
572,SIRC,MTT,ZnO,6,5,100.38,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
573,SIRC,MTT,ZnO,6,10,96.923,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
574,SIRC,MTT,ZnO,6,25,101.54,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
575,SIRC,MTT,ZnO,6,50,96.346,10.9,-45.4,2.272727273,2.545,-0.7618,1.35,original
576,NHDF,MTT,Au,6,75,100.1,10.9,-45.4,0,2.54,1.692,1.35,original
577,NHDF,MTT,Au,6,100,100.38,10.9,-45.4,0,2.54,1.692,1.35,original
578,NHDF,MTT,Au,6,150,101.54,10.9,-45.4,0,2.54,1.692,1.35,original
579,NHDF,MTT,Au,6,175,98.654,10.9,-45.4,0,2.54,1.692,1.35,original
580,NHDF,MTT,Au,6,200,101.25,10.9,-45.4,0,2.54,1.692,1.35,original
581,NHDF,MTT,Au,6,300,100.1,10.9,-45.4,0,2.54,1.692,1.35,original
582,NHDF,MTT,Au,24,5,96.535,10,-31.8,0,2.54,1.692,1.35,original
583,NHDF,MTT,Au,24,10,89.109,10,-31.8,0,2.54,1.692,1.35,original
584,NHDF,MTT,Au,24,25,99.257,10,-31.8,0,2.54,1.692,1.35,original
585,NHDF,MTT,Au,24,50,93.069,10,-31.8,0,2.54,1.692,1.35,original
586,NHDF,MTT,Au,24,75,99.01,10,-31.8,0,2.54,1.692,1.35,original
587,NHDF,MTT,Au,24,100,103.22,10,-31.8,0,2.54,1.692,1.35,original
588,NHDF,MTT,Au,24,150,107.67,10,-31.8,0,2.54,1.692,1.35,original
589,NHDF,MTT,Au,24,175,107.18,10,-31.8,0,2.54,1.692,1.35,original
590,NHDF,MTT,Au,24,200,106.19,10,-31.8,0,2.54,1.692,1.35,original
591,NHDF,MTT,Au,24,300,96.04,10,-31.8,0,2.54,1.692,1.35,original
592,NHDF,MTT,Au,24,5,96.058,10.9,-45.4,0,2.54,1.692,1.35,original
593,NHDF,MTT,Au,24,10,88.558,10.9,-45.4,0,2.54,1.692,1.35,original
594,NHDF,MTT,Au,24,25,98.654,10.9,-45.4,0,2.54,1.692,1.35,original
595,NHDF,MTT,Au,24,50,92.596,10.9,-45.4,0,2.54,1.692,1.35,original
596,NHDF,MTT,Au,24,75,98.654,10.9,-45.4,0,2.54,1.692,1.35,original
597,NHDF,MTT,Au,24,100,102.69,10.9,-45.4,0,2.54,1.692,1.35,original
598,NHDF,MTT,Au,24,150,107.31,10.9,-45.4,0,2.54,1.692,1.35,original
599,NHDF,MTT,Au,24,175,106.44,10.9,-45.4,0,2.54,1.692,1.35,original
600,NHDF,MTT,Au,24,200,105.87,10.9,-45.4,0,2.54,1.692,1.35,original
601,NHDF,MTT,Au,24,300,95.481,10.9,-45.4,0,2.54,1.692,1.35,original
602,NHDF,MTT,Au,3,5,108.02,10,-31.8,0,2.54,1.692,1.35,original
603,NHDF,MTT,Au,3,10,99.543,10,-31.8,0,2.54,1.692,1.35,original
604,NHDF,MTT,Au,3,25,102.54,10,-31.8,0,2.54,1.692,1.35,original
605,NHDF,MTT,Au,3,50,111.02,10,-31.8,0,2.54,1.692,1.35,original
606,NHDF,MTT,Au,3,75,101.79,10,-31.8,0,2.54,1.692,1.35,original
607,NHDF,MTT,Au,3,100,106.78,10,-31.8,0,2.54,1.692,1.35,original
608,NHDF,MTT,Au,3,150,106.78,10,-31.8,0,2.54,1.692,1.35,original
609,NHDF,MTT,Au,3,175,103.78,10,-31.8,0,2.54,1.692,1.35,original
610,NHDF,MTT,Au,3,200,111.52,10,-31.8,0,2.54,1.692,1.35,original
611,NHDF,MTT,Au,3,300,101.79,10,-31.8,0,2.54,1.692,1.35,original
612,NHDF,MTT,Au,3,5,102.39,10.9,-45.4,0,2.54,1.692,1.35,original
613,NHDF,MTT,Au,3,10,103.76,10.9,-45.4,0,2.54,1.692,1.35,original
614,NHDF,MTT,Au,3,25,108.99,10.9,-45.4,0,2.54,1.692,1.35,original
615,NHDF,MTT,Au,3,50,107.61,10.9,-45.4,0,2.54,1.692,1.35,original
616,NHDF,MTT,Au,3,75,112.02,10.9,-45.4,0,2.54,1.692,1.35,original
617,NHDF,MTT,Au,3,100,109.82,10.9,-45.4,0,2.54,1.692,1.35,original
618,NHDF,MTT,Au,3,150,81.743,10.9,-45.4,0,2.54,1.692,1.35,original
619,NHDF,MTT,Au,3,175,111.74,10.9,-45.4,0,2.54,1.692,1.35,original
620,NHDF,MTT,Au,3,200,108.44,10.9,-45.4,0,2.54,1.692,1.35,original
621,A549,CCK-8,Au,48,15,72.134,100,-8.23,0,2.54,1.692,1.35,original
622,A549,CCK-8,Au,48,20,56.719,100,-8.23,0,2.54,1.692,1.35,original
623,A549,CCK-8,Au,48,25,10.079,100,-8.23,0,2.54,1.692,1.35,original
624,A549,CCK-8,Au,48,30,9.0909,100,-8.23,0,2.54,1.692,1.35,original
625,A549,CCK-8,Au,48,35,7.9051,100,-8.23,0,2.54,1.692,1.35,original
626,A549,CCK-8,Au,48,40,7.9051,100,-8.23,0,2.54,1.692,1.35,original
627,Caco-2,CCK-8,Ag,3,10,101.97,100,-8.23,0,1.93,0.7996,1.6,original
628,Caco-2,CCK-8,Ag,3,15,92.358,100,-8.23,0,1.93,0.7996,1.6,original
629,Caco-2,CCK-8,Ag,3,20,86.463,100,-8.23,0,1.93,0.7996,1.6,original
630,Caco-2,CCK-8,Ag,3,25,65.066,100,-8.23,0,1.93,0.7996,1.6,original
631,Caco-2,CCK-8,Ag,3,30,56.769,100,-8.23,0,1.93,0.7996,1.6,original
632,Caco-2,CCK-8,ZnO,3,35,56.769,100,-8.23,2.272727273,2.545,-0.7618,1.35,original
633,Caco-2,CCK-8,ZnO,3,40,50.437,100,-8.23,2.272727273,2.545,-0.7618,1.35,original
634,Caco-2,CCK-8,ZnO,3,80,61.572,100,-8.23,2.272727273,2.545,-0.7618,1.35,original
635,Caco-2,CCK-8,ZnO,6,10,104.8,100,-8.23,2.272727273,2.545,-0.7618,1.35,original
636,Caco-2,CCK-8,ZnO,6,15,100.44,100,-8.23,2.272727273,2.545,-0.7618,1.35,original
637,THP-1,AlamarBlue,Ag,6,20,105.9,100,-8.23,0,1.93,0.7996,1.6,original
638,THP-1,AlamarBlue,Ag,6,25,76.856,100,-8.23,0,1.93,0.7996,1.6,original
639,THP-1,AlamarBlue,Ag,6,30,60.262,100,-8.23,0,1.93,0.7996,1.6,original
640,THP-1,AlamarBlue,Ag,6,35,56.114,100,-8.23,0,1.93,0.7996,1.6,original
641,THP-1,AlamarBlue,Ag,6,40,53.275,100,-8.23,0,1.93,0.7996,1.6,original
642,THP-1,AlamarBlue,Ag,6,80,59.825,100,-8.23,0,1.93,0.7996,1.6,original
643,THP-1,AlamarBlue,Ag,24,10,104.8,100,-8.23,0,1.93,0.7996,1.6,original
644,THP-1,AlamarBlue,Ag,24,15,100,100,-8.23,0,1.93,0.7996,1.6,original
645,THP-1,AlamarBlue,Ag,24,20,92.795,100,-8.23,0,1.93,0.7996,1.6,original
646,THP-1,AlamarBlue,Ag,24,25,75.109,100,-8.23,0,1.93,0.7996,1.6,original
647,THP-1,AlamarBlue,Ag,24,30,70.742,100,-8.23,0,1.93,0.7996,1.6,original
648,THP-1,AlamarBlue,Ag,24,35,68.996,100,-8.23,0,1.93,0.7996,1.6,original
649,THP-1,AlamarBlue,Ag,24,40,69.432,100,-8.23,0,1.93,0.7996,1.6,original
650,THP-1,AlamarBlue,Ag,24,80,49.345,100,-8.23,0,1.93,0.7996,1.6,original
651,THP-1,AlamarBlue,Ag,48,10,96.288,100,-8.23,0,1.93,0.7996,1.6,original
652,THP-1,AlamarBlue,Ag,48,15,100.44,100,-8.23,0,1.93,0.7996,1.6,original
653,THP-1,AlamarBlue,Ag,48,20,82.314,100,-8.23,0,1.93,0.7996,1.6,original
654,THP-1,AlamarBlue,Ag,48,25,63.755,100,-8.23,0,1.93,0.7996,1.6,original
655,THP-1,AlamarBlue,Ag,48,30,60.262,100,-8.23,0,1.93,0.7996,1.6,original
656,THP-1,AlamarBlue,Ag,48,35,59.607,100,-8.23,0,1.93,0.7996,1.6,original
657,SHSY5Y,MTT,Fe3O4,48,40,64.192,100,-8.23,2.93255132,2.75,-0.239,1.4,original
658,SHSY5Y,MTT,Fe3O4,48,80,55.677,100,-8.23,2.93255132,2.75,-0.239,1.4,original
659,SHSY5Y,MTT,Fe3O4,24,1,91.342,50,71.7,2.93255132,2.75,-0.239,1.4,original
660,SHSY5Y,MTT,Fe3O4,24,2.5,61.905,50,71.7,2.93255132,2.75,-0.239,1.4,original
661,SHSY5Y,MTT,Fe3O4,24,5,31.818,50,71.7,2.93255132,2.75,-0.239,1.4,original
662,SHSY5Y,MTT,Fe3O4,24,10,15.152,50,71.7,2.93255132,2.75,-0.239,1.4,original
663,SHSY5Y,MTT,Fe3O4,24,5,92.5,21.8,-19.285,2.93255132,2.75,-0.239,1.4,original
664,SHSY5Y,MTT,Fe3O4,24,10,80.208,21.8,48.5,2.93255132,2.75,-0.239,1.4,original
