index,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,source
41,SKOV-3,MTT,Ag,48,50,72.95681063,28.78,-16.9,0,1.93,0.7996,1.6,additional
45,SKOV-3,MTT,Ag,48,100,64.9833887,28.78,-16.9,0,1.93,0.7996,1.6,additional
49,SKOV-3,MTT,Ag,48,200,24.31893688,28.78,-16.9,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Au,48,0.97,114.4508671,36.2,-18.4,0,2.54,1.692,1.35,additional
,HeLa,MTT,Au,48,1.95,104.0462428,36.2,-18.4,0,2.54,1.692,1.35,additional
,HeLa,MTT,Au,48,3.9,102.8901734,36.2,-18.4,0,2.54,1.692,1.35,additional
,HeLa,MTT,Au,48,7.8,95.95375723,36.2,-18.4,0,2.54,1.692,1.35,additional
,HeLa,MTT,Au,48,15.625,94.79768786,36.2,-18.4,0,2.54,1.692,1.35,additional
,HeLa,MTT,Au,48,31.25,91.32947977,36.2,-18.4,0,2.54,1.692,1.35,additional
,HeLa,MTT,Au,48,62.5,93.06358382,36.2,-18.4,0,2.54,1.692,1.35,additional
,HeLa,MTT,Au,48,125,87.86127168,36.2,-18.4,0,2.54,1.692,1.35,additional
,HeLa,MTT,Au,48,250,40.46242775,36.2,-18.4,0,2.54,1.692,1.35,additional
,HeLa,MTT,Au,48,500,23.12138728,36.2,-18.4,0,2.54,1.692,1.35,additional
,HeLa,MTT,Au,48,1000,20.80924855,36.2,-18.4,0,2.54,1.692,1.35,additional
,HeLa,MTT,Au,48,2000,19.65317919,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,0.97,108.0924855,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,1.95,93.6416185,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,3.9,92.48554913,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,7.8,89.59537572,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,15.625,85.54913295,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,31.25,82.65895954,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,62.5,83.23699422,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,125,54.33526012,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,250,45.66473988,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,500,19.07514451,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,1000,17.91907514,36.2,-18.4,0,2.54,1.692,1.35,additional
,Caco-2,MTT,Au,48,2000,17.34104046,36.2,-18.4,0,2.54,1.692,1.35,additional
,WISH,MTT,Au,48,0.97,180.3468208,36.2,-18.4,0,2.54,1.692,1.35,additional
