,generations,mean,max
0,1,12.704741452611577,26.01342863793478
1,2,13.669745215671872,26.01342863793478
2,3,15.222721695020809,31.360448750201755
3,4,16.113689452009098,31.360448750201755
4,5,19.063859477081213,31.442418461250966
5,6,18.391644367687285,31.442418461250966
6,7,18.663590073040787,31.442418461250966
7,8,17.993319429825075,31.442418461250966
8,9,18.040067738127693,31.442418461250966
9,10,18.872859909357974,31.442418461250966
10,11,19.192152814056442,32.89385835551029
11,12,19.101897508217125,32.89385835551029
12,13,20.29543744236908,32.89385835551029
13,14,20.384727634819143,32.89385835551029
14,15,20.052643906497057,32.89385835551029
15,16,19.615182221014148,32.89385835551029
16,17,19.934264788721176,32.89385835551029
17,18,20.63729622057994,32.89385835551029
18,19,20.270897172903826,32.89385835551029
19,20,20.079185649601296,32.89385835551029
20,21,19.403457097255252,32.89385835551029
21,22,19.494977603306264,32.89385835551029
22,23,19.566915825554933,32.89385835551029
23,24,19.79414553602856,32.89385835551029
24,25,19.938154455335024,32.89385835551029
25,26,19.812692268718955,32.89385835551029
26,27,20.043686819927807,32.89385835551029
27,28,20.392059334581393,32.89385835551029
28,29,20.42412732823703,34.486392591411246
29,30,19.602506448787203,34.486392591411246
30,31,19.31744191475695,34.486392591411246
31,32,19.656189611705415,34.486392591411246
32,33,19.658246968956306,34.486392591411246
33,34,20.346523875324696,34.486392591411246
34,35,20.253078596908875,34.486392591411246
35,36,20.773881669942096,34.486392591411246
36,37,20.299676530541962,37.01153878083248
37,38,20.968909263925646,37.01153878083248
38,39,20.694059422234538,37.01153878083248
39,40,20.911180360429174,37.01153878083248
40,41,19.958430922027187,37.01153878083248
41,42,19.353640315410704,37.01153878083248
42,43,19.266682530668003,37.01153878083248
43,44,19.23614160935446,37.01153878083248
44,45,19.13535371442167,37.01153878083248
45,46,19.57340571452602,37.01153878083248
46,47,20.69146551058157,37.01153878083248
47,48,20.02596536184081,37.01153878083248
48,49,19.780072684423285,37.01153878083248
49,50,20.416120107937317,37.01153878083248
50,51,19.38916537499464,37.01153878083248
51,52,19.995322080520594,37.01153878083248
52,53,19.487493713889613,37.01153878083248
53,54,19.513343135543135,37.01153878083248
54,55,19.877856781275963,37.01153878083248
55,56,19.747267821520264,37.01153878083248
56,57,19.400574252471113,37.01153878083248
57,58,19.17111267437249,37.01153878083248
58,59,19.861483190286343,37.01153878083248
59,60,20.727711471083445,37.01153878083248
60,61,20.160626644732723,37.01153878083248
61,62,20.148803524490365,37.01153878083248
62,63,20.24437663086005,37.01153878083248
63,64,20.241634961250668,37.01153878083248
64,65,20.37332720172618,37.01153878083248
65,66,19.71359181980071,37.01153878083248
66,67,18.7552857695189,37.01153878083248
67,68,19.93944277970386,37.86326518325136
68,69,20.353275945846523,37.86326518325136
69,70,20.752947711595098,37.86326518325136
70,71,20.286194131712886,37.86326518325136
71,72,20.339535986001387,37.86326518325136
72,73,20.345641565220483,37.86326518325136
73,74,20.369491901962963,37.86326518325136
74,75,21.59800028727323,37.86326518325136
75,76,21.032327211268473,37.86326518325136
76,77,20.585614481497657,37.86326518325136
77,78,20.970881357974335,37.86326518325136
78,79,20.69233171449198,37.86326518325136
79,80,20.605045093910924,37.86326518325136
80,81,20.56340793973843,37.86326518325136
81,82,20.65260282602101,37.86326518325136
82,83,20.996872696962182,37.86326518325136
83,84,20.537843770757206,37.86326518325136
84,85,20.174772479218504,37.86326518325136
85,86,21.025487447179167,37.86326518325136
86,87,20.251025754010108,37.86326518325136
87,88,20.081800566240894,37.86326518325136
88,89,20.55766975315811,37.86326518325136
89,90,19.4188693346881,37.86326518325136
90,91,19.463318310057776,37.86326518325136
91,92,19.86246835264827,37.86326518325136
92,93,20.673312869349754,37.86326518325136
93,94,20.318287575513263,37.86326518325136
94,95,20.36850783459201,37.86326518325136
95,96,21.14306349969605,37.86326518325136
96,97,20.714760219012497,37.86326518325136
97,98,19.9989564392431,37.86326518325136
98,99,20.20007811387011,37.86326518325136
99,100,20.326117665341094,37.86326518325136
