,generations,mean,max
0,1,3.286922413862643,7.429364259325077
1,2,3.4193772690997157,8.803251873473393
2,3,5.018240374837199,11.304511881737639
3,4,5.506046580092674,11.304511881737639
4,5,5.394519301268781,11.304511881737639
5,6,5.7107810496636064,11.304511881737639
6,7,5.612207241510967,11.32430503360142
7,8,6.139905070863658,11.32430503360142
8,9,6.333541735246948,12.167256081029727
9,10,6.282569723973638,12.167256081029727
10,11,6.462966684399869,12.167256081029727
11,12,6.624963861916636,12.617105320879517
12,13,6.692654498270395,12.617105320879517
13,14,6.785432599131136,12.617105320879517
14,15,6.91806325825423,12.617105320879517
15,16,7.017138499951207,12.617105320879517
16,17,6.927056973355561,12.617105320879517
17,18,7.153133419720175,12.617105320879517
18,19,7.237837093948646,14.406893769356657
19,20,7.452464289868322,14.406893769356657
20,21,7.522757404219658,14.406893769356657
21,22,7.531365240945925,14.406893769356657
22,23,7.762125458188685,14.406893769356657
23,24,7.74708702484293,14.406893769356657
24,25,7.783499983554239,14.406893769356657
25,26,7.929077145369453,14.406893769356657
26,27,8.019506707974369,15.03956617841478
27,28,8.131157804867868,15.03956617841478
28,29,8.04481985405909,15.03956617841478
29,30,8.192606457351088,15.03956617841478
30,31,8.251589807315849,15.03956617841478
31,32,8.366390196802158,15.03956617841478
32,33,8.2245941478574,15.03956617841478
33,34,8.397756865562073,15.03956617841478
34,35,8.480840662451302,15.03956617841478
35,36,8.40249126235839,15.03956617841478
36,37,8.493794158361066,15.03956617841478
37,38,8.590587211297068,15.03956617841478
38,39,8.735638735886875,15.03956617841478
39,40,8.80140564407715,15.03956617841478
40,41,8.735503125271538,15.03956617841478
41,42,8.745926393855578,15.03956617841478
42,43,8.781475190931335,15.03956617841478
43,44,8.755971666298507,15.03956617841478
44,45,8.922705097871427,15.03956617841478
45,46,8.663633664695432,15.03956617841478
46,47,8.806197417862005,15.03956617841478
47,48,8.820341098443189,15.03956617841478
48,49,8.844600976541823,15.03956617841478
49,50,8.827532328260302,15.03956617841478
50,51,8.792818349022864,15.03956617841478
51,52,8.884367252206696,15.03956617841478
52,53,8.849187736031885,15.03956617841478
53,54,8.937079852644342,15.03956617841478
54,55,8.896620003204418,15.03956617841478
55,56,8.946830683227839,15.03956617841478
56,57,8.957827916154551,15.406454741419367
57,58,8.925365518636099,15.406454741419367
58,59,9.011825287671956,15.406454741419367
59,60,9.066725197566079,15.406454741419367
60,61,9.066725197566079,15.406454741419367
61,62,9.162685536864341,15.406454741419367
62,63,8.99039573673162,15.406454741419367
63,64,8.994586010842884,15.406454741419367
64,65,9.121128294707656,15.406454741419367
65,66,8.956614724091866,15.406454741419367
66,67,8.956859306401187,15.406454741419367
67,68,8.987978031918392,15.406454741419367
68,69,9.07342902759026,15.406454741419367
69,70,9.058294399028473,15.406454741419367
70,71,9.074277982745766,15.406454741419367
71,72,9.074277982745766,15.406454741419367
72,73,9.110467409171948,15.406454741419367
73,74,9.046156899220824,15.406454741419367
74,75,9.077658865184846,15.406454741419367
75,76,9.215602572418366,15.406454741419367
76,77,8.994106563862255,15.406454741419367
77,78,9.079205332666767,15.406454741419367
78,79,9.065207351433473,15.406454741419367
79,80,9.072883428909824,15.406454741419367
80,81,9.136932174255977,15.406454741419367
81,82,9.072883428909824,15.406454741419367
82,83,9.099761850206631,15.406454741419367
83,84,9.091164829662823,15.406454741419367
84,85,9.00162824664985,15.406454741419367
85,86,8.942120020575517,15.406454741419367
86,87,9.078339741060041,15.406454741419367
87,88,9.080583508975801,15.406454741419367
88,89,9.057338793103453,15.406454741419367
89,90,9.266195555203916,15.406454741419367
90,91,9.197507025863528,15.406454741419367
91,92,9.132358460143907,15.406454741419367
92,93,9.132358460143907,15.406454741419367
93,94,9.211094828463178,15.406454741419367
94,95,9.192072940396846,15.613594458820998
95,96,9.086148167795198,15.613594458820998
96,97,9.167756293130468,15.613594458820998
97,98,9.144775410364437,15.613594458820998
98,99,9.14761860336807,15.613594458820998
99,100,9.15713070647771,15.613594458820998
