,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1,norm_v,canc_v,Fitness
0,Hepatocytes,MTS,Ag,original,mouse,Animal,epithelial,liver,Normal,48,20.0,153.88,-32.66,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,67.68017212065514,52.52728138325883,15.152890737396312
1,Hepatocytes,WST-1,Pt,original,mouse,Animal,epithelial,liver,Normal,4,15.0,19.4,-17.1,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,41.79077107579366,28.081014552984787,13.70975652280887
2,Hepatocytes,MTS,Ag,original,mouse,Animal,epithelial,liver,Normal,48,14.0,24.5,-13.56,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,39.20304122904615,26.01214629775441,13.19089493129174
3,Hepatocytes,CellTiterBlue,CuO,original,mouse,Animal,epithelial,liver,Normal,6,17.8,114.0,-16.86,2.298850575,2.67,0.337,1.35,17,79.545,1,0,0,-0.1213,1.651411411,0.507519219,0.0,0.319480519,2.319480519,96.86606645848282,84.38629239127724,12.479774067205582
4,Hepatocytes,CVS,CeO2,original,mouse,Animal,epithelial,liver,Normal,48,13.0,20.3,-15.9,3.96039604,2.666666667,-0.87,1.85,16,172.114,2,0,0,-0.2376,4.456551526,2.972092417,0.0,0.976623377,3.976623377,59.54183600904074,47.82151368130102,11.720322327739723
5,Hepatocytes,MTS,Ag,original,mouse,Animal,epithelial,liver,Normal,48,14.0,67.35,-13.56,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,46.969721943476955,35.337595635868105,11.63212630760885
6,Hepatocytes,CellTiterBlue,Pt,original,mouse,Animal,epithelial,liver,Normal,3,9.45,27.5,-19.25,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,62.80135625431576,51.24103543808754,11.56032081622822
7,Hepatocytes,Live/Dead,C,original,mouse,Animal,epithelial,liver,Normal,48,19.0,28.33,-22.62,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,60.961505482882444,50.050714665564385,10.910790817318059
8,Hepatocytes,Live/Dead,TiO2,original,mouse,Animal,epithelial,liver,Normal,20,19.0,375.4,-15.9,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,87.26571617900731,76.60126465866963,10.664451520337678
9,Hepatocytes,CellTiterBlue,Ag,original,mouse,Animal,epithelial,liver,Normal,6,40.0,108.8,-19.285,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,72.55931614449801,62.40358485057409,10.155731293923921
10,Hepatocytes,MTS,Au,original,mouse,Animal,epithelial,liver,Normal,4,150.0,124.5,-15.91,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,68.46514772320252,58.6852622538794,9.77988546932312
11,Hepatocytes,CytoTox-Glo,Al2O3,original,mouse,Animal,epithelial,liver,Normal,4,31.25,161.4,-17.1,4.444444444,2.708,-1.663,1.25,24,101.961,3,0,0,-1.118,4.688846487,0.0,0.0,0.944935065,162.8037375,71.50464723567109,61.9932527795976,9.51139445607349
12,Hepatocytes,MTS,ZnO,original,mouse,Animal,epithelial,liver,Normal,72,360.0,61.46,34.605,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0.0,0.423376623,2.423376623,51.79882464755741,42.970272757311164,8.828551890246246
13,Hepatocytes,CVS,Pt,original,mouse,Animal,epithelial,liver,Normal,20,32.0,162.5,-15.91,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,67.79396520491991,59.23525165034677,8.558713554573146
14,Hepatocytes,WST-1,ZnO,original,mouse,Animal,epithelial,liver,Normal,4,180.0,67.35,-17.1,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0.0,0.423376623,2.423376623,68.57759371025358,60.05291594268463,8.524677767568953
15,Hepatocytes,MTT,C,original,mouse,Animal,epithelial,liver,Normal,12,64.0,91.15,-15.91,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,90.70076112737792,82.23315810275092,8.467603024626996
16,Hepatocytes,MTS,Al2O3,original,mouse,Animal,epithelial,liver,Normal,48,16.0,162.71,-20.0,4.444444444,2.708,-1.663,1.25,24,101.961,3,0,0,-1.118,4.688846487,0.0,0.0,0.944935065,162.8037375,79.71510734627907,71.46614578607709,8.248961560201977
