,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1,norm_v,canc_v,Fitness
29,Hepatocytes,CytoTox-Glo,Au,original,mouse,Animal,epithelial,liver,Normal,4,21.87,386.9,-17.1,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,83.00635871329564,72.81676781144728,10.189590901848362
78,Hepatocytes,Live/Dead,Au,original,mouse,Animal,epithelial,liver,Normal,3,31.6,203.85,-10.1,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,90.62308904797605,82.8305358566198,7.792553191356248
54,Hepatocytes,CellTiterBlue,TiO2,original,mouse,Animal,epithelial,liver,Normal,72,13.0,91.15,-17.6,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,60.885245007080584,53.526304443613896,7.358940563466689
4,Hepatocytes,NRU,Fe3O4,original,mouse,Animal,epithelial,liver,Normal,12,36.0,93.15,1.14,2.93255132,2.75,-0.239,1.4,48,231.531,4,0,2,-0.4323,6.006207083,2.975595179,0.708333333,0.918441558,10.82035581,74.82741885377993,68.47146416952967,6.355954684250264
59,Hepatocytes,LDH,Fe3O4,original,mouse,Animal,epithelial,liver,Normal,48,21.87,43.17,-4.115,2.93255132,2.75,-0.239,1.4,48,231.531,4,0,2,-0.4323,6.006207083,2.975595179,0.708333333,0.918441558,10.82035581,86.07870317161691,79.89117759247635,6.187525579140555
27,Hepatocytes,XTT,Au,original,mouse,Animal,epithelial,liver,Normal,6,93.64,164.065,-9.72,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,96.17063957744843,90.00823729827565,6.162402279172781
23,Hepatocytes,MTT,C,original,mouse,Animal,epithelial,liver,Normal,3,30.0,154.85,-30.0,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,93.13208152790105,88.36791357431014,4.764167953590913
34,Hepatocytes,Live/Dead,TiO2,original,mouse,Animal,epithelial,liver,Normal,6,19.0,444.9,-8.24,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,86.50929532888559,82.03768184628997,4.471613482595615
76,Hepatocytes,LDH,C,original,mouse,Animal,epithelial,liver,Normal,12,144.0,165.3,-8.7,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,98.24970575155838,94.08660189561634,4.16310385594204
38,Hepatocytes,LDH,C,original,mouse,Animal,epithelial,liver,Normal,9,316.1,345.2,-14.25,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,69.61596324022076,65.71596199227655,3.9000012479442177
67,Hepatocytes,WST-1,Fe3O4,original,mouse,Animal,epithelial,liver,Normal,9,120.0,87.82,-22.73,2.93255132,2.75,-0.239,1.4,48,231.531,4,0,2,-0.4323,6.006207083,2.975595179,0.708333333,0.918441558,10.82035581,65.23500713835472,61.638072214831375,3.5969349235233423
19,Hepatocytes,MTS,Au,original,mouse,Animal,epithelial,liver,Normal,20,30.6,194.2,17.48,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,57.568190858509766,54.11249968836681,3.4556911701429556
68,Hepatocytes,LDH,SiO2,original,mouse,Animal,epithelial,liver,Normal,9,200.0,75.1,-20.0,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,69.85271691104133,66.69147894749848,3.1612379635428454
1,Hepatocytes,XTT,C,original,mouse,Animal,epithelial,liver,Normal,9,9.45,23.0,-24.3,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,88.05779844057969,84.986474663904,3.0713237766756833
47,Hepatocytes,CCK-8,Au,original,mouse,Animal,epithelial,liver,Normal,6,1000.0,30.15,-18.88,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,53.82048612501059,50.977042774425456,2.843443350585133
72,Hepatocytes,CytoTox-Glo,Au,original,mouse,Animal,epithelial,liver,Normal,24,400.0,28.33,30.53,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,50.74976697402549,47.977433955216725,2.772333018808766
24,Hepatocytes,CytoTox-Glo,TiO2,original,mouse,Animal,epithelial,liver,Normal,48,7.5,63.6,-7.21,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,61.007144408788676,58.324116484951034,2.683027923837642
65,Hepatocytes,Live/Dead,ZnO,original,mouse,Animal,epithelial,liver,Normal,20,316.1,109.25,-25.115,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0.0,0.423376623,2.423376623,64.68861959279661,62.0300331090198,2.6585864837768156
70,Hepatocytes,NRU,ZrO2,original,mouse,Animal,epithelial,liver,Normal,2,711.1,54.86,-8.6,4.651162791,2.736666667,-1.45,1.55,16,123.222,2,0,0,-0.2401,3.774536472,2.415229458,0.0,0.483116883,3.483116883,86.88822091514594,84.3468072830358,2.5414136321101353
17,Hepatocytes,CellTiterBlue,Pt,original,mouse,Animal,epithelial,liver,Normal,96,240.0,550.15,-25.2,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,71.75642195016616,69.61718942584052,2.139232524325635
26,Hepatocytes,CellTiterBlue,Au,original,mouse,Animal,epithelial,liver,Normal,4,500.0,19.0,-31.8,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,46.4753674744231,44.36571961575933,2.10964785866377
2,Hepatocytes,CellTiterBlue,SiO2,original,mouse,Animal,epithelial,liver,Normal,48,180.0,203.85,-26.3,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,80.48928006157182,78.46118341334025,2.0280966482315677
