,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1,norm_v,canc_v,Fitness
0,Hepatocytes,MTS,Pt,original,mouse,Animal,epithelial,liver,Normal,48,18.0,67.35,-31.215,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,54.130791658295806,41.51368633741629,12.617105320879517
1,Hepatocytes,CytoTox-Glo,Ag,original,mouse,Animal,epithelial,liver,Normal,48,18.0,65.0,-20.165,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,68.91088687837924,57.39650140513636,11.514385473242882
2,Hepatocytes,CVS,Pt,original,mouse,Animal,epithelial,liver,Normal,48,40.0,70.0,-16.95,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,42.78393970293511,31.79561262786006,10.988327075075048
3,Hepatocytes,WST-1,Au,original,mouse,Animal,epithelial,liver,Normal,4,180.0,91.15,-18.0,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,55.22949964744134,45.015311709011556,10.214187938429781
4,Hepatocytes,CellTiterBlue,TiO2,original,mouse,Animal,epithelial,liver,Normal,6,25.0,302.75,-19.25,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,73.19228849270137,63.17393234652246,10.018356146178903
5,Hepatocytes,CellTiterGlo,Ag,original,mouse,Animal,epithelial,liver,Normal,48,18.0,164.065,-31.8,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,60.9639240041613,50.98466268813696,9.979261316024342
6,Hepatocytes,CytoTox-Glo,Au,original,mouse,Animal,epithelial,liver,Normal,72,19.0,158.75,-33.55,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,63.984692585579566,54.58704016617073,9.397652419408836
7,Hepatocytes,LDH,MgO,original,mouse,Animal,epithelial,liver,Normal,72,500.0,124.5,17.88,2.325581395,2.375,-2.372,1.5,8,40.304,1,0,0,-0.4996,2.529568634,0.866025404,0.0,0.566233766,2.566233766,44.41944765037896,35.466238130925575,8.953209519453388
8,Hepatocytes,CellTiterBlue,Au,original,mouse,Animal,epithelial,liver,Normal,48,15.6,22.415,-29.5,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,69.12706279090638,60.221742775075654,8.905320015830725
9,Hepatocytes,CVS,TiO2,original,mouse,Animal,epithelial,liver,Normal,2,40.0,70.0,-16.95,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,85.98859500296723,77.24151536640245,8.747079636564777
10,Hepatocytes,CellTiterBlue,Ag,original,mouse,Animal,epithelial,liver,Normal,20,175.0,200.0,-19.285,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,72.42925453378714,63.82777913487421,8.601475398912932
11,Hepatocytes,CCK-8,Pt,original,mouse,Animal,epithelial,liver,Normal,48,18.0,67.35,-31.215,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,55.556472919403944,47.408961938440534,8.14751098096341
12,Hepatocytes,AlamarBlue,TiO2,original,mouse,Animal,epithelial,liver,Normal,2,36.0,165.3,-17.015,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,93.00639832724006,85.3033236926375,7.703074634602558
13,Hepatocytes,CytoTox-Glo,Fe3O4,original,mouse,Animal,epithelial,liver,Normal,9,36.0,68.3,-16.8,2.93255132,2.75,-0.239,1.4,48,231.531,4,0,2,-0.4323,6.006207083,2.975595179,0.708333333,0.918441558,10.82035581,87.14410302034995,79.53990635727963,7.6041966630703115
14,Hepatocytes,WST-1,CuO,original,mouse,Animal,epithelial,liver,Normal,4,43.75,125.0,-10.045,2.298850575,2.67,0.337,1.35,17,79.545,1,0,0,-0.1213,1.651411411,0.507519219,0.0,0.319480519,2.319480519,91.0741990523707,83.56306112607027,7.511137926300435
15,Hepatocytes,CytoTox-Glo,SiO2,original,mouse,Animal,epithelial,liver,Normal,72,19.0,158.75,-33.55,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,58.42689914918469,51.20381679227925,7.223082356905444
16,Hepatocytes,CytoTox-Glo,C,original,mouse,Animal,epithelial,liver,Normal,9,40.0,165.25,-31.9,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,77.64647031781331,70.68170149671174,6.964768821101572
17,Hepatocytes,WST-1,SiO2,original,mouse,Animal,epithelial,liver,Normal,4,18.0,78.3,-8.23,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,79.44355633585451,72.6459697406077,6.797586595246813
18,Hepatocytes,LDH,Pt,original,mouse,Animal,epithelial,liver,Normal,9,160.0,161.4,-18.0,0.0,2.28,1.188,1.35,10,195.078,0,0,0,-0.0025,2.588435821,0.0,0.0,0.688311688,1.688311688,69.52556124517042,62.93485994949512,6.590701295675302
19,Hepatocytes,CVS,Ag,original,mouse,Animal,epithelial,liver,Normal,72,140.5,125.0,45.32,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,52.24252848024141,45.67688938476183,6.5656390954795825
20,Hepatocytes,CellTiterGlo,TiO2,original,mouse,Animal,epithelial,liver,Normal,4,160.0,124.5,-13.5,5.369127517,2.806666667,-0.93,1.4,16,79.865,2,0,0,-0.2401,2.878049394,1.683250823,0.0,0.314285714,3.314285714,70.23688905888758,63.752330860022035,6.48455819886555
21,Hepatocytes,MTS,Au,original,mouse,Animal,epithelial,liver,Normal,6,15.6,18.3,-20.26,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,81.64634256017933,75.31914339274888,6.32719916743045
22,Hepatocytes,LDH,Fe3O4,original,mouse,Animal,epithelial,liver,Normal,24,30.0,226.75,-34.55,2.93255132,2.75,-0.239,1.4,48,231.531,4,0,2,-0.4323,6.006207083,2.975595179,0.708333333,0.918441558,10.82035581,70.73059745932228,64.508682996743,6.221914462579278
23,Hepatocytes,MTS,CeO2,original,mouse,Animal,epithelial,liver,Normal,72,17.8,68.3,8.29,3.96039604,2.666666667,-0.87,1.85,16,172.114,2,0,0,-0.2376,4.456551526,2.972092417,0.0,0.976623377,3.976623377,60.966979244865094,54.771862232790745,6.195117012074348
24,Hepatocytes,CVS,Au,original,mouse,Animal,epithelial,liver,Normal,48,93.64,20.12,-16.2,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,47.454670590954144,41.390980646341376,6.063689944612769
25,Hepatocytes,CellTiterGlo,C,original,mouse,Animal,epithelial,liver,Normal,6,20.0,190.0,-19.285,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,107.81247180708044,101.78957321355678,6.022898593523664
26,Hepatocytes,CytoTox-Glo,Ag,original,mouse,Animal,epithelial,liver,Normal,48,18.0,11.0,45.12,0.0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0.0,0.0,0.74025974,1.74025974,48.94732752164244,42.945596958045186,6.001730563597256
27,Hepatocytes,CellTiterBlue,C,original,mouse,Animal,epithelial,liver,Normal,6,19.0,11.0,-19.285,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,86.12118804364869,80.1988108619436,5.922377181705087
28,Hepatocytes,CellTiterBlue,CuO,original,mouse,Animal,epithelial,liver,Normal,24,21.87,134.645,5.65,2.298850575,2.67,0.337,1.35,17,79.545,1,0,0,-0.1213,1.651411411,0.507519219,0.0,0.319480519,2.319480519,80.24075542426924,74.3899703804533,5.850785043815932
29,Hepatocytes,LDH,SiO2,original,mouse,Animal,epithelial,liver,Normal,3,20.0,45.0,-19.8,7.407407407,2.926666667,-1.2,1.1,16,60.084,2,0,0,-0.6184,2.316496581,1.224744871,0.0,-0.183116883,2.816883117,89.64256311088407,83.84869824269141,5.793864868192657
30,Hepatocytes,CellTiterGlo,C,original,mouse,Animal,epithelial,liver,Normal,20,25.0,302.75,-19.25,0.0,2.55,0.0,0.7,4,12.011,0,0,0,0.08129,0.5,0.0,0.0,0.0,0.0,97.62679537562667,91.9870007027878,5.639794672838875
31,Hepatocytes,CellTiterGlo,CuO,original,mouse,Animal,epithelial,liver,Normal,4,60.0,94.5,-8.1,2.298850575,2.67,0.337,1.35,17,79.545,1,0,0,-0.1213,1.651411411,0.507519219,0.0,0.319480519,2.319480519,90.61012034108289,85.04601708421598,5.564103256866915
32,Hepatocytes,LDH,Au,original,mouse,Animal,epithelial,liver,Normal,48,14.0,14.23,-43.7,0.0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0.0,0.0,0.74025974,1.74025974,77.97893904238086,72.45643586635896,5.5225031760219
